Testing size of 20000--------------,,,,Recursion limit (x),20k,40k,60k,80k,100k,200k,400k,500k,550k,600k,670k,700k,800k,1 million,2 million,3 million,4 million,5 million ,6 million,8 million,
224,810,,,,,,,,,,,,,,,,,,,,,,,,
226,878,,,,,,,,,,,,,,,,,,,,,,,,
228,846,,,,,,,,,,,,,,,,,,,,,,,,
230,865,,,,,,,,,,,,,,,,,,,,,,,,
232,842,,,,,,,,,,,,,,,,,,,,,,,,
234,908,,,,,,,,,,,,,,,,,,,,,,,,
236,837,,,,,,,,,,,,,,,,,,,,,,,,
238,879,,,,,,,,,,,,,,,,,,,,,,,,
240,828,,,,,,,,,,,,,,,,,,,,,,,,
242,945,,,,,,,,,,,,,,,,,,,,,,,,
244,874,,,,,,,,,,,,,,,,,,,,,,,,
246,918,,,,,,,,,,,,,,,,,,,,,,,,
248,862,,,,,,,,,,,,,,,,,,,,,,,,
250,930,,,,,,,,,,,,,,,,,,,,,,,,
252,873,,,,,,,,,,,,,,,,,,,,,,,,
254,920,,,,,,,,,,,,,,,,,,,,,,,,
256,968,,,,,,,,,,,,,,,,,,,,,,,,
258,935,,,,,,,,,,,,,,,,,,,,,,,,
260,889,,,,,,,,,,,,,,,,,,,,,,,,
262,942,,,,,,,,,,,,,,,,,,,,,,,,
264,924,,,,,,,,,,,,,,,,,,,,,,,,
266,963,,,,,,,,,,,,,,,,,,,,,,,,
268,904,,,,,,,,,,,,,,,,,,,,,,,,
270,973,,,,,,,,,,,,,,,,,,,,,,,,
272,911,,,,,,,,,,,,,,,,,,,,,,,,
274,982,,,,,,,,,,,,,,,,,,,,,,,,
276,908,,,,,,,,,,,,,,,,,,,,,,,,
278,992,,,,,,,,,,,,,,,,,,,,,,,,
280,917,,,,,,,,,,,,,,,,,,,,,,,,
282,1017,,,,,,,,,,,,,,,,,,,,,,,,
284,964,,,,,,,,,,,,,,,,,,,,,,,,
286,1030,,,,,,,,,,,,,,,,,,,,,,,,
288,993,,,,,,,,,,,,,,,,,,,,,,,,
290,1012,,,,,,,,,,,,,,,,,,,,,,,,
292,976,,,,,,,,,,,,,,,,,,,,,,,,
294,1032,,,,,,,,,,,,,,,,,,,,,,,,
296,1005,,,,,,,,,,,,,,,,,,,,,,,,
298,1090,,,,,,,,,,,,,,,,,,,,,,,,
300,969,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 1000000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,535,,,,,,,,,,,,,,,,,,,,,,,,
4,591,,,,,,,,,,,,,,,,,,,,,,,,
6,620,,,,,,,,,,,,,,,,,,,,,,,,
8,578,,,,,,,,,,,,,,,,,,,,,,,,
10,565,,,,,,,,,,,,,,,,,,,,,,,,
12,616,,,,,,,,,,,,,,,,,,,,,,,,
14,596,,,,,,,,,,,,,,,,,,,,,,,,
16,596,,,,,,,,,,,,,,,,,,,,,,,,
18,584,,,,,,,,,,,,,,,,,,,,,,,,
20,595,,,,,,,,,,,,,,,,,,,,,,,,
22,588,,,,,,,,,,,,,,,,,,,,,,,,
24,555,,,,,,,,,,,,,,,,,,,,,,,,
26,611,,,,,,,,,,,,,,,,,,,,,,,,
28,625,,,,,,,,,,,,,,,,,,,,,,,,
30,604,,,,,,,,,,,,,,,,,,,,,,,,
32,634,,,,,,,,,,,,,,,,,,,,,,,,
34,609,,,,,,,,,,,,,,,,,,,,,,,,
36,613,,,,,,,,,,,,,,,,,,,,,,,,
38,633,,,,,,,,,,,,,,,,,,,,,,,,
40,646,,,,,,,,,,,,,,,,,,,,,,,,
42,635,,,,,,,,,,,,,,,,,,,,,,,,
44,632,,,,,,,,,,,,,,,,,,,,,,,,
46,618,,,,,,,,,,,,,,,,,,,,,,,,
48,667,,,,,,,,,,,,,,,,,,,,,,,,
50,650,,,,,,,,,,,,,,,,,,,,,,,,
52,640,,,,,,,,,,,,,,,,,,,,,,,,
54,706,,,,,,,,,,,,,,,,,,,,,,,,
56,638,,,,,,,,,,,,,,,,,,,,,,,,
58,709,,,,,,,,,,,,,,,,,,,,,,,,
60,708,,,,,,,,,,,,,,,,,,,,,,,,
62,669,,,,,,,,,,,,,,,,,,,,,,,,
64,691,,,,,,,,,,,,,,,,,,,,,,,,
66,669,,,,,,,,,,,,,,,,,,,,,,,,
68,694,,,,,,,,,,,,,,,,,,,,,,,,
70,743,,,,,,,,,,,,,,,,,,,,,,,,
72,668,,,,,,,,,,,,,,,,,,,,,,,,
74,708,,,,,,,,,,,,,,,,,,,,,,,,
76,822,,,,,,,,,,,,,,,,,,,,,,,,
78,753,,,,,,,,,,,,,,,,,,,,,,,,
80,713,,,,,,,,,,,,,,,,,,,,,,,,
82,729,,,,,,,,,,,,,,,,,,,,,,,,
84,756,,,,,,,,,,,,,,,,,,,,,,,,
86,907,,,,,,,,,,,,,,,,,,,,,,,,
88,762,,,,,,,,,,,,,,,,,,,,,,,,
90,749,,,,,,,,,,,,,,,,,,,,,,,,
92,751,,,,,,,,,,,,,,,,,,,,,,,,
94,766,,,,,,,,,,,,,,,,,,,,,,,,
96,802,,,,,,,,,,,,,,,,,,,,,,,,
98,770,,,,,,,,,,,,,,,,,,,,,,,,
100,781,,,,,,,,,,,,,,,,,,,,,,,,
102,797,,,,,,,,,,,,,,,,,,,,,,,,
104,797,,,,,,,,,,,,,,,,,,,,,,,,
106,800,,,,,,,,,,,,,,,,,,,,,,,,
108,773,,,,,,,,,,,,,,,,,,,,,,,,
110,816,,,,,,,,,,,,,,,,,,,,,,,,
112,861,,,,,,,,,,,,,,,,,,,,,,,,
114,805,,,,,,,,,,,,,,,,,,,,,,,,
116,831,,,,,,,,,,,,,,,,,,,,,,,,
118,827,,,,,,,,,,,,,,,,,,,,,,,,
120,840,,,,,,,,,,,,,,,,,,,,,,,,
122,841,,,,,,,,,,,,,,,,,,,,,,,,
124,820,,,,,,,,,,,,,,,,,,,,,,,,
126,826,,,,,,,,,,,,,,,,,,,,,,,,
128,858,,,,,,,,,,,,,,,,,,,,,,,,
130,844,,,,,,,,,,,,,,,,,,,,,,,,
132,859,,,,,,,,,,,,,,,,,,,,,,,,
134,842,,,,,,,,,,,,,,,,,,,,,,,,
136,875,,,,,,,,,,,,,,,,,,,,,,,,
138,871,,,,,,,,,,,,,,,,,,,,,,,,
140,845,,,,,,,,,,,,,,,,,,,,,,,,
142,866,,,,,,,,,,,,,,,,,,,,,,,,
144,929,,,,,,,,,,,,,,,,,,,,,,,,
146,891,,,,,,,,,,,,,,,,,,,,,,,,
148,885,,,,,,,,,,,,,,,,,,,,,,,,
150,899,,,,,,,,,,,,,,,,,,,,,,,,
152,895,,,,,,,,,,,,,,,,,,,,,,,,
154,923,,,,,,,,,,,,,,,,,,,,,,,,
156,1003,,,,,,,,,,,,,,,,,,,,,,,,
158,1075,,,,,,,,,,,,,,,,,,,,,,,,
160,913,,,,,,,,,,,,,,,,,,,,,,,,
162,930,,,,,,,,,,,,,,,,,,,,,,,,
164,1064,,,,,,,,,,,,,,,,,,,,,,,,
166,908,,,,,,,,,,,,,,,,,,,,,,,,
168,939,,,,,,,,,,,,,,,,,,,,,,,,
170,925,,,,,,,,,,,,,,,,,,,,,,,,
172,988,,,,,,,,,,,,,,,,,,,,,,,,
174,949,,,,,,,,,,,,,,,,,,,,,,,,
176,962,,,,,,,,,,,,,,,,,,,,,,,,
178,933,,,,,,,,,,,,,,,,,,,,,,,,
180,987,,,,,,,,,,,,,,,,,,,,,,,,
182,990,,,,,,,,,,,,,,,,,,,,,,,,
184,946,,,,,,,,,,,,,,,,,,,,,,,,
186,990,,,,,,,,,,,,,,,,,,,,,,,,
188,995,,,,,,,,,,,,,,,,,,,,,,,,
190,993,,,,,,,,,,,,,,,,,,,,,,,,
192,1001,,,,,,,,,,,,,,,,,,,,,,,,
194,1013,,,,,,,,,,,,,,,,,,,,,,,,
196,993,,,,,,,,,,,,,,,,,,,,,,,,
198,1034,,,,,,,,,,,,,,,,,,,,,,,,
200,1319,,,,,,,,,,,,,,,,,,,,,,,,
202,1395,,,,,,,,,,,,,,,,,,,,,,,,
204,1380,,,,,,,,,,,,,,,,,,,,,,,,
206,1378,,,,,,,,,,,,,,,,,,,,,,,,
208,1188,,,,,,,,,,,,,,,,,,,,,,,,
210,1370,,,,,,,,,,,,,,,,,,,,,,,,
212,1234,,,,,,,,,,,,,,,,,,,,,,,,
214,963,,,,,,,,,,,,,,,,,,,,,,,,
216,820,,,,,,,,,,,,,,,,,,,,,,,,
218,1147,,,,,,,,,,,,,,,,,,,,,,,,
220,1052,,,,,,,,,,,,,,,,,,,,,,,,
222,1160,,,,,,,,,,,,,,,,,,,,,,,,
224,834,,,,,,,,,,,,,,,,,,,,,,,,
226,1081,,,,,,,,,,,,,,,,,,,,,,,,
228,1283,,,,,,,,,,,,,,,,,,,,,,,,
230,1203,,,,,,,,,,,,,,,,,,,,,,,,
232,1328,,,,,,,,,,,,,,,,,,,,,,,,
234,1421,,,,,,,,,,,,,,,,,,,,,,,,
236,1291,,,,,,,,,,,,,,,,,,,,,,,,
238,940,,,,,,,,,,,,,,,,,,,,,,,,
240,918,,,,,,,,,,,,,,,,,,,,,,,,
242,853,,,,,,,,,,,,,,,,,,,,,,,,
244,828,,,,,,,,,,,,,,,,,,,,,,,,
246,802,,,,,,,,,,,,,,,,,,,,,,,,
248,768,,,,,,,,,,,,,,,,,,,,,,,,
250,772,,,,,,,,,,,,,,,,,,,,,,,,
252,1112,,,,,,,,,,,,,,,,,,,,,,,,
254,1324,,,,,,,,,,,,,,,,,,,,,,,,
256,1160,,,,,,,,,,,,,,,,,,,,,,,,
258,1283,,,,,,,,,,,,,,,,,,,,,,,,
260,1314,,,,,,,,,,,,,,,,,,,,,,,,
262,1242,,,,,,,,,,,,,,,,,,,,,,,,
264,1285,,,,,,,,,,,,,,,,,,,,,,,,
266,1209,,,,,,,,,,,,,,,,,,,,,,,,
268,1226,,,,,,,,,,,,,,,,,,,,,,,,
270,1206,,,,,,,,,,,,,,,,,,,,,,,,
272,1167,,,,,,,,,,,,,,,,,,,,,,,,
274,1252,,,,,,,,,,,,,,,,,,,,,,,,
276,1248,,,,,,,,,,,,,,,,,,,,,,,,
278,1225,,,,,,,,,,,,,,,,,,,,,,,,
280,1297,,,,,,,,,,,,,,,,,,,,,,,,
282,1381,,,,,,,,,,,,,,,,,,,,,,,,
284,1401,,,,,,,,,,,,,,,,,,,,,,,,
286,1261,,,,,,,,,,,,,,,,,,,,,,,,
288,1219,,,,,,,,,,,,,,,,,,,,,,,,
290,1332,,,,,,,,,,,,,,,,,,,,,,,,
292,1304,,,,,,,,,,,,,,,,,,,,,,,,
294,1356,,,,,,,,,,,,,,,,,,,,,,,,
296,1285,,,,,,,,,,,,,,,,,,,,,,,,
298,1301,,,,,,,,,,,,,,,,,,,,,,,,
300,1377,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 2000000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,1250,,,,,,,,,,,,,,,,,,,,,,,,
4,1359,,,,,,,,,,,,,,,,,,,,,,,,
6,1278,,,,,,,,,,,,,,,,,,,,,,,,
8,1357,,,,,,,,,,,,,,,,,,,,,,,,
10,1311,,,,,,,,,,,,,,,,,,,,,,,,
12,1349,,,,,,,,,,,,,,,,,,,,,,,,
14,1696,,,,,,,,,,,,,,,,,,,,,,,,
16,1313,,,,,,,,,,,,,,,,,,,,,,,,
18,1352,,,,,,,,,,,,,,,,,,,,,,,,
20,1561,,,,,,,,,,,,,,,,,,,,,,,,
22,1382,,,,,,,,,,,,,,,,,,,,,,,,
24,1482,,,,,,,,,,,,,,,,,,,,,,,,
26,1532,,,,,,,,,,,,,,,,,,,,,,,,
28,1461,,,,,,,,,,,,,,,,,,,,,,,,
30,1302,,,,,,,,,,,,,,,,,,,,,,,,
32,1386,,,,,,,,,,,,,,,,,,,,,,,,
34,1411,,,,,,,,,,,,,,,,,,,,,,,,
36,1504,,,,,,,,,,,,,,,,,,,,,,,,
38,1353,,,,,,,,,,,,,,,,,,,,,,,,
40,1538,,,,,,,,,,,,,,,,,,,,,,,,
42,1617,,,,,,,,,,,,,,,,,,,,,,,,
44,1444,,,,,,,,,,,,,,,,,,,,,,,,
46,1573,,,,,,,,,,,,,,,,,,,,,,,,
48,1428,,,,,,,,,,,,,,,,,,,,,,,,
50,1475,,,,,,,,,,,,,,,,,,,,,,,,
52,1497,,,,,,,,,,,,,,,,,,,,,,,,
54,1720,,,,,,,,,,,,,,,,,,,,,,,,
56,1536,,,,,,,,,,,,,,,,,,,,,,,,
58,1042,,,,,,,,,,,,,,,,,,,,,,,,
60,1172,,,,,,,,,,,,,,,,,,,,,,,,
62,1603,,,,,,,,,,,,,,,,,,,,,,,,
64,1975,,,,,,,,,,,,,,,,,,,,,,,,
66,1597,,,,,,,,,,,,,,,,,,,,,,,,
68,1652,,,,,,,,,,,,,,,,,,,,,,,,
70,1702,,,,,,,,,,,,,,,,,,,,,,,,
72,979,,,,,,,,,,,,,,,,,,,,,,,,
74,1167,,,,,,,,,,,,,,,,,,,,,,,,
76,1172,,,,,,,,,,,,,,,,,,,,,,,,
78,1454,,,,,,,,,,,,,,,,,,,,,,,,
80,1429,,,,,,,,,,,,,,,,,,,,,,,,
82,1084,,,,,,,,,,,,,,,,,,,,,,,,
84,995,,,,,,,,,,,,,,,,,,,,,,,,
86,1275,,,,,,,,,,,,,,,,,,,,,,,,
88,1269,,,,,,,,,,,,,,,,,,,,,,,,
90,1146,,,,,,,,,,,,,,,,,,,,,,,,
92,1143,,,,,,,,,,,,,,,,,,,,,,,,
94,1092,,,,,,,,,,,,,,,,,,,,,,,,
96,1047,,,,,,,,,,,,,,,,,,,,,,,,
98,1253,,,,,,,,,,,,,,,,,,,,,,,,
100,1333,,,,,,,,,,,,,,,,,,,,,,,,
102,1078,,,,,,,,,,,,,,,,,,,,,,,,
104,1048,,,,,,,,,,,,,,,,,,,,,,,,
106,1073,,,,,,,,,,,,,,,,,,,,,,,,
108,1227,,,,,,,,,,,,,,,,,,,,,,,,
110,1192,,,,,,,,,,,,,,,,,,,,,,,,
112,1236,,,,,,,,,,,,,,,,,,,,,,,,
114,1183,,,,,,,,,,,,,,,,,,,,,,,,
116,1305,,,,,,,,,,,,,,,,,,,,,,,,
118,1888,,,,,,,,,,,,,,,,,,,,,,,,
120,1879,,,,,,,,,,,,,,,,,,,,,,,,
122,1895,,,,,,,,,,,,,,,,,,,,,,,,
124,1862,,,,,,,,,,,,,,,,,,,,,,,,
126,1845,,,,,,,,,,,,,,,,,,,,,,,,
128,1829,,,,,,,,,,,,,,,,,,,,,,,,
130,1861,,,,,,,,,,,,,,,,,,,,,,,,
132,1855,,,,,,,,,,,,,,,,,,,,,,,,
134,1900,,,,,,,,,,,,,,,,,,,,,,,,
136,1918,,,,,,,,,,,,,,,,,,,,,,,,
138,1986,,,,,,,,,,,,,,,,,,,,,,,,
140,1871,,,,,,,,,,,,,,,,,,,,,,,,
142,1932,,,,,,,,,,,,,,,,,,,,,,,,
144,1862,,,,,,,,,,,,,,,,,,,,,,,,
146,1910,,,,,,,,,,,,,,,,,,,,,,,,
148,1877,,,,,,,,,,,,,,,,,,,,,,,,
150,1927,,,,,,,,,,,,,,,,,,,,,,,,
152,2052,,,,,,,,,,,,,,,,,,,,,,,,
154,1957,,,,,,,,,,,,,,,,,,,,,,,,
156,2045,,,,,,,,,,,,,,,,,,,,,,,,
158,2007,,,,,,,,,,,,,,,,,,,,,,,,
160,2294,,,,,,,,,,,,,,,,,,,,,,,,
162,2220,,,,,,,,,,,,,,,,,,,,,,,,
164,2032,,,,,,,,,,,,,,,,,,,,,,,,
166,1988,,,,,,,,,,,,,,,,,,,,,,,,
168,2073,,,,,,,,,,,,,,,,,,,,,,,,
170,2051,,,,,,,,,,,,,,,,,,,,,,,,
172,2169,,,,,,,,,,,,,,,,,,,,,,,,
174,2267,,,,,,,,,,,,,,,,,,,,,,,,
176,2153,,,,,,,,,,,,,,,,,,,,,,,,
178,2086,,,,,,,,,,,,,,,,,,,,,,,,
180,2158,,,,,,,,,,,,,,,,,,,,,,,,
182,2162,,,,,,,,,,,,,,,,,,,,,,,,
184,2238,,,,,,,,,,,,,,,,,,,,,,,,
186,2108,,,,,,,,,,,,,,,,,,,,,,,,
188,2018,,,,,,,,,,,,,,,,,,,,,,,,
190,1872,,,,,,,,,,,,,,,,,,,,,,,,
192,1802,,,,,,,,,,,,,,,,,,,,,,,,
194,2150,,,,,,,,,,,,,,,,,,,,,,,,
196,2451,,,,,,,,,,,,,,,,,,,,,,,,
198,2235,,,,,,,,,,,,,,,,,,,,,,,,
200,2185,,,,,,,,,,,,,,,,,,,,,,,,
202,2199,,,,,,,,,,,,,,,,,,,,,,,,
204,2260,,,,,,,,,,,,,,,,,,,,,,,,
206,2282,,,,,,,,,,,,,,,,,,,,,,,,
208,2338,,,,,,,,,,,,,,,,,,,,,,,,
210,2250,,,,,,,,,,,,,,,,,,,,,,,,
212,2319,,,,,,,,,,,,,,,,,,,,,,,,
214,2260,,,,,,,,,,,,,,,,,,,,,,,,
216,2299,,,,,,,,,,,,,,,,,,,,,,,,
218,2279,,,,,,,,,,,,,,,,,,,,,,,,
220,2315,,,,,,,,,,,,,,,,,,,,,,,,
222,2250,,,,,,,,,,,,,,,,,,,,,,,,
224,2351,,,,,,,,,,,,,,,,,,,,,,,,
226,2575,,,,,,,,,,,,,,,,,,,,,,,,
228,2368,,,,,,,,,,,,,,,,,,,,,,,,
230,2404,,,,,,,,,,,,,,,,,,,,,,,,
232,2350,,,,,,,,,,,,,,,,,,,,,,,,
234,2308,,,,,,,,,,,,,,,,,,,,,,,,
236,2372,,,,,,,,,,,,,,,,,,,,,,,,
238,2382,,,,,,,,,,,,,,,,,,,,,,,,
240,2337,,,,,,,,,,,,,,,,,,,,,,,,
242,2527,,,,,,,,,,,,,,,,,,,,,,,,
244,2417,,,,,,,,,,,,,,,,,,,,,,,,
246,2462,,,,,,,,,,,,,,,,,,,,,,,,
248,2518,,,,,,,,,,,,,,,,,,,,,,,,
250,2428,,,,,,,,,,,,,,,,,,,,,,,,
252,2462,,,,,,,,,,,,,,,,,,,,,,,,
254,2462,,,,,,,,,,,,,,,,,,,,,,,,
256,2450,,,,,,,,,,,,,,,,,,,,,,,,
258,2500,,,,,,,,,,,,,,,,,,,,,,,,
260,2563,,,,,,,,,,,,,,,,,,,,,,,,
262,2559,,,,,,,,,,,,,,,,,,,,,,,,
264,2544,,,,,,,,,,,,,,,,,,,,,,,,
266,2576,,,,,,,,,,,,,,,,,,,,,,,,
268,2569,,,,,,,,,,,,,,,,,,,,,,,,
270,2598,,,,,,,,,,,,,,,,,,,,,,,,
272,2622,,,,,,,,,,,,,,,,,,,,,,,,
274,2602,,,,,,,,,,,,,,,,,,,,,,,,
276,2598,,,,,,,,,,,,,,,,,,,,,,,,
278,2710,,,,,,,,,,,,,,,,,,,,,,,,
280,2592,,,,,,,,,,,,,,,,,,,,,,,,
282,2678,,,,,,,,,,,,,,,,,,,,,,,,
284,2617,,,,,,,,,,,,,,,,,,,,,,,,
286,2651,,,,,,,,,,,,,,,,,,,,,,,,
288,2695,,,,,,,,,,,,,,,,,,,,,,,,
290,2790,,,,,,,,,,,,,,,,,,,,,,,,
292,2777,,,,,,,,,,,,,,,,,,,,,,,,
294,2913,,,,,,,,,,,,,,,,,,,,,,,,
296,2737,,,,,,,,,,,,,,,,,,,,,,,,
298,2945,,,,,,,,,,,,,,,,,,,,,,,,
300,2817,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 3000000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,2144,,,,,,,,,,,,,,,,,,,,,,,,
4,2091,,,,,,,,,,,,,,,,,,,,,,,,
6,1330,,,,,,,,,,,,,,,,,,,,,,,,
8,1801,,,,,,,,,,,,,,,,,,,,,,,,
10,2085,,,,,,,,,,,,,,,,,,,,,,,,
12,2085,,,,,,,,,,,,,,,,,,,,,,,,
14,2115,,,,,,,,,,,,,,,,,,,,,,,,
16,2081,,,,,,,,,,,,,,,,,,,,,,,,
18,2181,,,,,,,,,,,,,,,,,,,,,,,,
20,2183,,,,,,,,,,,,,,,,,,,,,,,,
22,2292,,,,,,,,,,,,,,,,,,,,,,,,
24,2217,,,,,,,,,,,,,,,,,,,,,,,,
26,2183,,,,,,,,,,,,,,,,,,,,,,,,
28,2193,,,,,,,,,,,,,,,,,,,,,,,,
30,2372,,,,,,,,,,,,,,,,,,,,,,,,
32,2290,,,,,,,,,,,,,,,,,,,,,,,,
34,2155,,,,,,,,,,,,,,,,,,,,,,,,
36,2272,,,,,,,,,,,,,,,,,,,,,,,,
38,2253,,,,,,,,,,,,,,,,,,,,,,,,
40,2304,,,,,,,,,,,,,,,,,,,,,,,,
42,2284,,,,,,,,,,,,,,,,,,,,,,,,
44,2414,,,,,,,,,,,,,,,,,,,,,,,,
46,2309,,,,,,,,,,,,,,,,,,,,,,,,
48,2348,,,,,,,,,,,,,,,,,,,,,,,,
50,2342,,,,,,,,,,,,,,,,,,,,,,,,
52,2554,,,,,,,,,,,,,,,,,,,,,,,,
54,2477,,,,,,,,,,,,,,,,,,,,,,,,
56,2344,,,,,,,,,,,,,,,,,,,,,,,,
58,2439,,,,,,,,,,,,,,,,,,,,,,,,
60,2382,,,,,,,,,,,,,,,,,,,,,,,,
62,2473,,,,,,,,,,,,,,,,,,,,,,,,
64,2361,,,,,,,,,,,,,,,,,,,,,,,,
66,2392,,,,,,,,,,,,,,,,,,,,,,,,
68,2608,,,,,,,,,,,,,,,,,,,,,,,,
70,2437,,,,,,,,,,,,,,,,,,,,,,,,
72,2803,,,,,,,,,,,,,,,,,,,,,,,,
74,2651,,,,,,,,,,,,,,,,,,,,,,,,
76,2592,,,,,,,,,,,,,,,,,,,,,,,,
78,2691,,,,,,,,,,,,,,,,,,,,,,,,
80,2656,,,,,,,,,,,,,,,,,,,,,,,,
82,2769,,,,,,,,,,,,,,,,,,,,,,,,
84,2709,,,,,,,,,,,,,,,,,,,,,,,,
86,2966,,,,,,,,,,,,,,,,,,,,,,,,
88,2747,,,,,,,,,,,,,,,,,,,,,,,,
90,2723,,,,,,,,,,,,,,,,,,,,,,,,
92,2929,,,,,,,,,,,,,,,,,,,,,,,,
94,2691,,,,,,,,,,,,,,,,,,,,,,,,
96,2737,,,,,,,,,,,,,,,,,,,,,,,,
98,2777,,,,,,,,,,,,,,,,,,,,,,,,
100,2744,,,,,,,,,,,,,,,,,,,,,,,,
102,2765,,,,,,,,,,,,,,,,,,,,,,,,
104,2813,,,,,,,,,,,,,,,,,,,,,,,,
106,2803,,,,,,,,,,,,,,,,,,,,,,,,
108,3015,,,,,,,,,,,,,,,,,,,,,,,,
110,2993,,,,,,,,,,,,,,,,,,,,,,,,
112,2930,,,,,,,,,,,,,,,,,,,,,,,,
114,2875,,,,,,,,,,,,,,,,,,,,,,,,
116,2869,,,,,,,,,,,,,,,,,,,,,,,,
118,2896,,,,,,,,,,,,,,,,,,,,,,,,
120,2993,,,,,,,,,,,,,,,,,,,,,,,,
122,2928,,,,,,,,,,,,,,,,,,,,,,,,
124,2962,,,,,,,,,,,,,,,,,,,,,,,,
126,3003,,,,,,,,,,,,,,,,,,,,,,,,
128,2987,,,,,,,,,,,,,,,,,,,,,,,,
130,3240,,,,,,,,,,,,,,,,,,,,,,,,
132,3092,,,,,,,,,,,,,,,,,,,,,,,,
134,3001,,,,,,,,,,,,,,,,,,,,,,,,
136,3182,,,,,,,,,,,,,,,,,,,,,,,,
138,3048,,,,,,,,,,,,,,,,,,,,,,,,
140,3115,,,,,,,,,,,,,,,,,,,,,,,,
142,3328,,,,,,,,,,,,,,,,,,,,,,,,
144,3165,,,,,,,,,,,,,,,,,,,,,,,,
146,3210,,,,,,,,,,,,,,,,,,,,,,,,
148,3143,,,,,,,,,,,,,,,,,,,,,,,,
150,3541,,,,,,,,,,,,,,,,,,,,,,,,
152,3199,,,,,,,,,,,,,,,,,,,,,,,,
154,3212,,,,,,,,,,,,,,,,,,,,,,,,
156,3145,,,,,,,,,,,,,,,,,,,,,,,,
158,3267,,,,,,,,,,,,,,,,,,,,,,,,
160,3160,,,,,,,,,,,,,,,,,,,,,,,,
162,3226,,,,,,,,,,,,,,,,,,,,,,,,
164,3200,,,,,,,,,,,,,,,,,,,,,,,,
166,3407,,,,,,,,,,,,,,,,,,,,,,,,
168,3287,,,,,,,,,,,,,,,,,,,,,,,,
170,3738,,,,,,,,,,,,,,,,,,,,,,,,
172,3332,,,,,,,,,,,,,,,,,,,,,,,,
174,3566,,,,,,,,,,,,,,,,,,,,,,,,
176,3441,,,,,,,,,,,,,,,,,,,,,,,,
178,3392,,,,,,,,,,,,,,,,,,,,,,,,
180,3417,,,,,,,,,,,,,,,,,,,,,,,,
182,3436,,,,,,,,,,,,,,,,,,,,,,,,
184,3403,,,,,,,,,,,,,,,,,,,,,,,,
186,3494,,,,,,,,,,,,,,,,,,,,,,,,
188,3384,,,,,,,,,,,,,,,,,,,,,,,,
190,3412,,,,,,,,,,,,,,,,,,,,,,,,
192,3424,,,,,,,,,,,,,,,,,,,,,,,,
194,3496,,,,,,,,,,,,,,,,,,,,,,,,
196,3403,,,,,,,,,,,,,,,,,,,,,,,,
198,3416,,,,,,,,,,,,,,,,,,,,,,,,
200,3533,,,,,,,,,,,,,,,,,,,,,,,,
202,3518,,,,,,,,,,,,,,,,,,,,,,,,
204,3564,,,,,,,,,,,,,,,,,,,,,,,,
206,3479,,,,,,,,,,,,,,,,,,,,,,,,
208,3542,,,,,,,,,,,,,,,,,,,,,,,,
210,3607,,,,,,,,,,,,,,,,,,,,,,,,
212,3503,,,,,,,,,,,,,,,,,,,,,,,,
214,3522,,,,,,,,,,,,,,,,,,,,,,,,
216,3564,,,,,,,,,,,,,,,,,,,,,,,,
218,3566,,,,,,,,,,,,,,,,,,,,,,,,
220,3595,,,,,,,,,,,,,,,,,,,,,,,,
222,3571,,,,,,,,,,,,,,,,,,,,,,,,
224,3625,,,,,,,,,,,,,,,,,,,,,,,,
226,3686,,,,,,,,,,,,,,,,,,,,,,,,
228,3723,,,,,,,,,,,,,,,,,,,,,,,,
230,3749,,,,,,,,,,,,,,,,,,,,,,,,
232,3613,,,,,,,,,,,,,,,,,,,,,,,,
234,3728,,,,,,,,,,,,,,,,,,,,,,,,
236,3678,,,,,,,,,,,,,,,,,,,,,,,,
238,4393,,,,,,,,,,,,,,,,,,,,,,,,
240,4028,,,,,,,,,,,,,,,,,,,,,,,,
242,3899,,,,,,,,,,,,,,,,,,,,,,,,
244,3828,,,,,,,,,,,,,,,,,,,,,,,,
246,4213,,,,,,,,,,,,,,,,,,,,,,,,
248,4818,,,,,,,,,,,,,,,,,,,,,,,,
250,4089,,,,,,,,,,,,,,,,,,,,,,,,
252,3928,,,,,,,,,,,,,,,,,,,,,,,,
254,3910,,,,,,,,,,,,,,,,,,,,,,,,
256,4141,,,,,,,,,,,,,,,,,,,,,,,,
258,4211,,,,,,,,,,,,,,,,,,,,,,,,
260,4145,,,,,,,,,,,,,,,,,,,,,,,,
262,3954,,,,,,,,,,,,,,,,,,,,,,,,
264,3937,,,,,,,,,,,,,,,,,,,,,,,,
266,4178,,,,,,,,,,,,,,,,,,,,,,,,
268,4001,,,,,,,,,,,,,,,,,,,,,,,,
270,4020,,,,,,,,,,,,,,,,,,,,,,,,
272,4068,,,,,,,,,,,,,,,,,,,,,,,,
